date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,phase_offset,cadence
2019-10-17,C08_P1,CTKA4,rebalance_sell,,,1.0,877,19464.53265,4.86735,2019-10-21,1,,,,1,8
2019-10-17,C08_P1,JHSF3,rebalance_sell,,,1.0,1,4.3889024999999995,0.0010975,2019-10-21,1,,,,1,8
2019-10-17,C08_P1,L1RC34,rebalance_sell,,,1.0,2,4.447977591170455,0.0011122724659090911,2019-10-18,1,,,,1,8
2019-10-17,C08_P1,LOGN3,rebalance_sell,,,1.0,1051,21056.774490000003,5.26551,2019-10-21,1,,,,1,8
2019-10-17,C08_P1,LPSB3,rebalance_sell,,,1.0,2,14.736315,0.0036850000000000003,2019-10-21,1,,,,1,8
2019-10-17,C08_P1,BGIP3,concentration_trim,,,,4,219.945,0.055,2019-10-21,1,0.15170605331897916,0.2,236.27389578440852,1,8
2019-10-18,C08_P1,BGIP3,defensive_sell,4.0,-0.5664482075696978,0.25,94,5168.7075,1.2925,2019-10-22,0,,,,1,8
2019-10-29,C08_P1,BNBR3,rebalance_sell,,,1.0,1,78.98025,0.01975,2019-10-31,1,,,,1,8
2019-10-29,C08_P1,CTKA4,rebalance_sell,,,1.0,1,30.292425,0.007575,2019-10-31,1,,,,1,8
2019-10-29,C08_P1,HBOR3,rebalance_sell,,,1.0,753,11856.785062500001,2.9649375,2019-10-31,1,,,,1,8
2019-10-29,C08_P1,S1HW34,rebalance_sell,,,1.0,267,20672.194482444153,5.169340955850001,2019-10-30,1,,,,1,8
2019-10-29,C08_P1,POSI3,concentration_trim,,,,344,1385.9734200000003,0.34658000000000005,2019-10-31,1,0.16004558071522387,0.2,1389.9657654237526,1,8
2019-10-30,C08_P1,LOGN3,defensive_sell,6.0,-2.267310255308634,1.0,76,1663.2240900000002,0.41591,2019-11-01,0,,,,1,8
2019-11-06,C08_P1,LOGN3,defensive_sell,6.0,-2.684849883564407,1.0,1,20.5448625,0.005137500000000001,2019-11-08,0,,,,1,8
2019-11-08,C08_P1,AMER3,rebalance_sell,,,1.0,1513,19694.335185,4.924815,2019-11-12,1,,,,1,8
2019-11-08,C08_P1,HAPV3,rebalance_sell,,,1.0,120,20043.387899999998,5.012099999999999,2019-11-12,1,,,,1,8
2019-11-08,C08_P1,ORLY34,rebalance_sell,,,1.0,1,0.39062810242499996,9.768144596774192e-05,2019-11-11,1,,,,1,8
2019-11-08,C08_P1,S1HW34,rebalance_sell,,,1.0,1,80.13842242948876,0.02003961551125,2019-11-11,1,,,,1,8
2019-11-08,C08_P1,POSI3,concentration_trim,,,,677,3228.4826774999997,0.8073224999999999,2019-11-12,1,0.17270981105183456,0.2,3230.7729699564843,1,8
2019-11-18,C08_P1,POSI3,defensive_sell,4.0,-1.4734498889921854,0.25,1118,6046.867905,1.512095,2019-11-21,0,,,,1,8
2019-11-22,C08_P1,AMER3,rebalance_sell,,,1.0,1,13.991501249999999,0.0034987499999999997,2019-11-26,1,,,,1,8
2019-11-22,C08_P1,HAPV3,rebalance_sell,,,1.0,1,171.5271075,0.0428925,2019-11-26,1,,,,1,8
2019-11-22,C08_P1,L1RC34,rebalance_sell,,,1.0,8266,20583.105681759225,5.147063186236364,2019-11-25,1,,,,1,8
2019-11-22,C08_P1,NVDC34,rebalance_sell,,,1.0,1,0.45936607476375,0.00011487023625000001,2019-11-25,1,,,,1,8
2019-11-22,C08_P1,POSI3,concentration_trim,,,,215,1566.9581624999998,0.3918375,2019-11-26,1,0.16029731703088132,0.2,1571.619146115001,1,8
2019-12-04,C08_P1,BGIP3,rebalance_sell,,,1.0,387,21279.67875,5.32125,2019-12-06,1,,,,1,8
2019-12-04,C08_P1,J2BL34,rebalance_sell,,,1.0,168,3437.2820945924996,0.8595354074999999,2019-12-05,1,,,,1,8
2019-12-04,C08_P1,L1RC34,rebalance_sell,,,1.0,2,5.008332885497727,0.0012523963204545455,2019-12-05,1,,,,1,8
2019-12-04,C08_P1,NVDC34,rebalance_sell,,,1.0,2,0.9143695712781249,0.00022864955520833331,2019-12-05,1,,,,1,8
2019-12-04,C08_P1,BEEF3,concentration_trim,,,,108,1566.68823,0.39177,2019-12-06,1,0.15958462021814418,0.2,1579.0994432007392,1,8
2019-12-04,C08_P1,POSI3,concentration_trim,,,,639,6311.74167,1.5783300000000002,2019-12-06,1,0.18836115392849764,0.2,6320.118208700744,1,8
2019-12-05,C08_P1,BEEF3,defensive_sell,6.0,-3.741893943592341,1.0,1703,25657.7939475,6.4160525,2019-12-09,0,,,,1,8
2019-12-11,C08_P1,POSI3,defensive_sell,4.0,-2.017716789802699,0.25,625,6960.759375,1.740625,2019-12-13,0,,,,1,8
2019-12-16,C08_P1,J2BL34,rebalance_sell,,,1.0,1,20.721726272999998,0.005181727,2019-12-17,1,,,,1,8
2019-12-16,C08_P1,NVDC34,rebalance_sell,,,1.0,1,0.47833161365171867,0.00011961280661458332,2019-12-17,1,,,,1,8
2019-12-16,C08_P1,S1TT34,rebalance_sell,,,1.0,45,14614.935642427501,3.6546475725000005,2019-12-17,1,,,,1,8
2019-12-16,C08_P1,TSLA34,rebalance_sell,,,1.0,7885,25563.28451192502,6.392419232789453,2019-12-17,1,,,,1,8
