date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,phase_offset,cadence
2020-06-02,161418.85251831124,3.5031731147253153,44800.19255995447,0,10,0.15031187691962813,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,1,68,406,189,90,0,25,21,56,0,89,4742.135170949458,4,7
2020-06-03,156263.7463983788,44808.77871235011,0.0,0,10,0.1506043959002647,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,68,407,189,90,1,25,21,56,0,89,4742.135170949458,4,7
2020-06-04,154775.81035438116,44813.86226829502,0.0,0,10,0.14712584298555034,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,68,408,189,90,1,25,21,56,0,89,4742.135170949458,4,7
2020-06-05,151486.80325696935,44818.94640096936,0.0,0,10,0.14787378949604588,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,68,409,189,90,1,25,21,56,0,89,4742.135170949458,4,7
2020-06-08,151085.52220004803,44824.03111043855,0.0,0,10,0.14937391333726235,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,68,410,189,90,1,25,21,56,0,89,4742.135170949458,4,7
2020-06-09,150845.3391847912,44829.116396768026,0.0,0,10,0.15330773980059856,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,68,411,189,90,0,25,21,56,0,89,4742.135170949458,4,7
2020-06-10,152652.15105818823,44834.20226002324,0.0,0,10,0.15369453372741398,0,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,68,412,189,90,0,25,21,56,0,89,4742.135170949458,4,7
2020-06-12,153354.9672481219,0.7698066018879826,63908.51999474999,0,8,0.15005677944123996,1,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,1,69,412,195,91,0,25,21,56,0,89,4742.135170949458,4,7
2020-06-15,154053.85644273667,63916.54031027984,0.0,0,8,0.15552590200743163,1,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,69,413,195,91,0,25,21,56,0,89,4742.135170949458,4,7
2020-06-16,157220.37179836052,63923.791641778036,0.0,0,8,0.15325965066984573,1,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,69,414,195,91,0,25,21,56,0,89,4742.135170949458,4,7
2020-06-17,159521.39701848532,63931.0437959398,0.0,0,8,0.15601331034109517,1,0.00011344999999999999,C07_P4,10,15,7,0.15,0.2,0.2,0,69,415,195,91,0,25,21,56,0,89,4742.135170949458,4,7
2020-06-18,160089.32873357774,63936.440854657056,0.0,0,8,0.1591086000258648,1,8.442e-05,C07_P4,10,15,7,0.15,0.2,0.2,0,69,416,195,91,0,25,21,56,0,89,4742.135170949458,4,7
2020-06-19,160412.605303964,63941.83836899401,0.0,0,8,0.16004019227680732,1,8.442e-05,C07_P4,10,15,7,0.15,0.2,0.2,0,69,417,195,91,1,25,21,56,0,89,4742.135170949458,4,7
2020-06-22,157853.7577141888,63947.236338989125,0.0,0,8,0.16156854222107336,1,8.442e-05,C07_P4,10,15,7,0.15,0.2,0.2,0,69,418,195,91,1,25,21,56,0,89,4742.135170949458,4,7
2020-06-23,155222.844982522,0.3181703864055907,67656.30644141446,0,7,0.15013920538879294,1,8.442e-05,C07_P4,10,15,7,0.15,0.2,0.2,1,70,418,201,92,1,25,21,56,0,89,4742.135170949458,4,7
2020-06-24,154037.12427291652,49635.206991017876,18025.607471249998,0,7,0.1525922450338575,1,8.442e-05,C07_P4,10,15,7,0.15,0.2,0.2,0,70,419,201,92,1,25,21,56,0,89,4742.135170949458,4,7
2020-06-25,156214.8438678708,67666.5263882248,0.0,0,7,0.15587371293022234,1,8.442e-05,C07_P4,10,15,7,0.15,0.2,0.2,0,70,420,201,92,1,25,21,56,0,89,4742.135170949458,4,7
